-0.0168232117,-0.365365416,0.965640903,0.000867496477,-0.0237391721,-0.64138478,0.766851544,-0.204503909,-0.0123303058,-0.0199666303,0.237994939,-0.0214788131,-0.191202447,0.130955711,0.122823045,0.19465971,0.0474427268,-0.10673441,0.190052196,0.285934865,-0.454106659,0.711851239,0.123614661,-0.181846797,0.438867986,0.95117116
-0.0168964528,-0.365571469,0.965096235,-2.28527406E-05,-0.0234130789,-0.643829286,0.764811039,-0.201670751,-0.011150714,-0.0246185735,0.246037439,-0.0260364413,-0.186561346,0.133830264,0.122899041,0.198857188,0.043122638,-0.0999963433,0.192855984,0.286172062,-0.456179708,0.718490601,0.123280302,-0.180502802,0.443248153,0.96028775
-0.016969692,-0.365777552,0.964551628,-0.00091323565,-0.0230867118,-0.646266699,0.762761891,-0.198837593,-0.00997112226,-0.0292705167,0.254079938,-0.0305940676,-0.18192026,0.136704803,0.122975029,0.203054681,0.0388025455,-0.0932582766,0.195659757,0.286409229,-0.458252788,0.725129902,0.122945935,-0.179158807,0.447628319,0.96940434
-0.017042933,-0.365983605,0.96400696,-0.00180362293,-0.0227600858,-0.648696959,0.760704339,-0.196004435,-0.0087915305,-0.0339224599,0.262122422,-0.0351516977,-0.177279159,0.139579356,0.123051025,0.20725216,0.0344824567,-0.0865202099,0.198463544,0.286646426,-0.460325837,0.731769264,0.122611575,-0.177814811,0.452008486,0.97852093
-0.0171161741,-0.366189659,0.963462353,-0.00269398442,-0.0224332102,-0.651120067,0.758638322,-0.193171263,-0.00761193829,-0.038574405,0.270164937,-0.0397093222,-0.172638059,0.142453909,0.123127021,0.211449638,0.0301623661,-0.0797821432,0.201267317,0.286883593,-0.462398916,0.738408625,0.122277215,-0.176470816,0.456388652,0.98763752
-0.0171894133,-0.366395712,0.962917686,-0.00358429155,-0.022106098,-0.653536022,0.756564081,-0.190338105,-0.00643234653,-0.0432263464,0.278207421,-0.0442669503,-0.167996973,0.145328447,0.123203009,0.215647131,0.0258422773,-0.0730440766,0.204071105,0.287120789,-0.464471966,0.745047927,0.121942855,-0.175126821,0.460768819,0.99675411
-0.0172876064,-0.366591454,0.962417901,-0.00430685561,-0.0216585733,-0.65591979,0.754507542,-0.187845543,-0.00488979975,-0.0482184663,0.284635961,-0.0482665822,-0.163727,0.148281142,0.123523898,0.218674496,0.0213928744,-0.0665207282,0.206078082,0.286581665,-0.465927988,0.751225471,0.120845966,-0.173356235,0.464155763,1.00468993
-0.0174064338,-0.366778642,0.96195513,-0.00489072967,-0.0211114213,-0.658276379,0.752464414,-0.185634643,-0.00304709561,-0.0534919016,0.289729774,-0.0518047549,-0.159763932,0.151298434,0.124047317,0.220734209,0.0168365333,-0.0601749383,0.207426116,0.28540054,-0.466873676,0.75702107,0.119118482,-0.171232849,0.466721326,1.01164937
-0.0175252594,-0.36696583,0.96149236,-0.00547456741,-0.0205640383,-0.660626113,0.750413477,-0.183423758,-0.00120439159,-0.0587653406,0.294823587,-0.0553429313,-0.155800879,0.15431574,0.124570727,0.222793907,0.0122801932,-0.0538291559,0.208774149,0.284219414,-0.467819363,0.762816668,0.117390998,-0.169109464,0.469286889,1.01860869
-0.0176440869,-0.367153019,0.961029649,-0.00605835114,-0.0200164393,-0.662969053,0.748354733,-0.181212857,0.000638312427,-0.0640387759,0.2999174,-0.058881104,-0.151837811,0.157333031,0.125094146,0.22485362,0.00772385299,-0.0474833697,0.210122183,0.283038288,-0.46876505,0.768612266,0.115663521,-0.166986093,0.471852452,1.02556813
